hi-lo,volume,changePercent
3.000992063492048,39351922,2.59
3.0206066811724046,28075243,2.96
4.1419337818229796,37475143,4.09
3.8859928237763244,43278690,1.17
5.404689362829511,53901476,-1.95
2.379361047988238,37057738,0.91496
1.7419485517520845,36274772,1.17
2.8065395095367878,39304329,2.05
3.8653281431400646,46877274,-2.63
2.425460636515916,38856467,-0.66756
4.529892020015799,52727537,-3.06
1.5265183638854478,33216648,0.09111024
5.350419446462775,46677296,3.47
2.014427657547284,35777482,1.67
2.4938339271033265,43642505,-0.62525
3.2002226241825475,62201343,1.34
3.9123400500073493,35693367,2.84
2.3487438679946457,36226832,1.86
2.534271952575019,44971673,0.0
1.5289838937133544,36515552,-0.54621
4.283660031786874,52435719,3.58
2.943037974683532,44245905,0.96825
5.099512429062432,55717481,-0.92578
6.450553959786623,71873156,-0.11182
3.658246892073791,42782383,-2.57
1.912989817957413,39641112,0.68493
1.9862490450725705,41593155,0.30367
3.0039282138180745,41279013,1.71
5.738148635063039,65438940,-4.41
2.460675907179564,40019688,-0.24733
2.0621777847211376,31156965,1.78
2.4788202070913057,37269511,1.94
2.137501993938421,35049847,-0.23776
1.9026653038760923,43857620,-0.44192
4.1065126724414425,65240719,2.89
2.695956065901144,46476431,2.21
1.6645649432534713,33861003,-0.6008
2.5798836523058783,46334849,-0.32008
2.1413276231263385,40719623,0.46154
2.6959732119859194,39013598,1.65
1.6168836694749311,46660191,-0.27248
2.5578983753888767,41265370,1.99
2.4459411556185793,75439019,0.65684
5.045216563541168,62414949,1.11
6.6559818987461,104038426,-1.05
5.746914717259172,62624286,-4.63
2.607679165542659,51177477,-0.24964
3.830718715797144,67997318,2.31
5.228127712935279,86413647,3.83
3.8611472062372347,72158392,-1.12
4.052896965084189,75917526,3.04
5.1515751931840725,71302374,1.07
7.145677062771413,125403822,-5.36
3.82927057065472,86390768,-2.12
5.823475887170146,85513176,-5.01
2.8023203926818385,81883055,0.16161
8.282182069680989,101828092,-7.36
3.7646661602093423,86294903,-1.94
5.598807354646351,73465587,3.51
2.0794273052667442,101040254,0.9767
3.94912985274431,60155937,-0.4769
2.2505626406601555,44862710,-0.51486
4.823934784435663,77448632,2.5
8.093061902783544,83760190,-7.27
3.4425686858656044,55841892,2.15
2.378161112041537,54836364,0.68482
3.0134558053339853,56145253,0.03229974
1.3427161692145893,43511650,-0.5332
3.1133452245824578,55694322,-0.99089
2.7838120524579564,46992994,-1.92
2.5386045759560196,43334664,0.82954
2.030862716878553,45787397,0.57813
2.421460789744403,63270936,-1.96
4.076243914514397,78277959,2.71
3.9095699473057914,59404997,2.15
2.5147805812307404,64596873,-0.8183
2.8052663281989543,70441908,-1.58
3.8535324047043162,81240179,-1.51
2.4540887754261744,71889870,-1.63
5.090909090909088,85279972,2.64
2.228976697061804,73384978,-0.08416092
7.037933817594821,148225630,-4.55
3.8799001851404715,71185447,2.05
3.4442788541149167,90838664,-1.0
5.1712558764271295,96603453,-3.37
1.5447089736443966,60209281,-1.13
4.475209272376048,70479840,3.92
3.460670400401238,68479880,0.46605
1.659891598915996,61751698,-0.15246
2.0511096166778846,54699868,-0.08338893
1.5692821368948209,54937679,-0.66733
3.3211557622052474,70195400,-1.99
3.543538500293894,89639615,2.36
2.9293299157817674,77293151,0.74586
4.707777678331697,81660547,-0.8837
3.6107290233837714,75966471,-2.96
2.531212587651794,65028589,0.37409
3.269613355246087,78075715,1.28
4.289118347895155,94466455,0.88905
3.08918784255107,58127494,-1.08
3.1847133757961763,55111003,2.1
1.4883243520656873,49461067,0.41159
2.5727359060692305,65911717,1.07
3.5310734463276834,70062112,-1.32
3.274626073103817,69973880,-0.41965
5.139148217302393,99252481,3.73
3.21710832171084,81130731,2.27
4.4626255113425035,101725798,-2.86
2.346249555634554,59777219,-1.34
3.305491380842366,57988590,2.63
2.1690418571300545,64191290,-0.43103
3.5559486952675767,75697602,-1.36
3.1222592527626754,89859289,-1.11
